ikaw at,ika't
Kung hindi,Kundi
Ayaw kong,Ayokong
nasaan,asan
Pwede,Pede
Kamusta,Musta
Ito,'To
Nasaan,Asan
ayokong-ayoko,ayaw na ayaw ko
hindi,'di
pwede,pede
di ba,diba
Ano,'No
oon,un
Ayokong-ayoko,Ayaw na ayaw ko
Hindi,'Di
Diyos ko,Jusko
Sa iyo,Sa'yo
saan,san
paano,pano
mayroon,meron
Ikaw at,Ika't
Noong,Nung
huwag,wag
ayaw kong,ayokong
pa ako,pako
ganito,ganto
kamusta,musta
di ko,diko
Pa ako,Pako
noong,nung
ninyo,'nyo
na ako,nako
Ayaw ko,Ayoko
Huwag,Wag
iyo,io
saka,tsaka
iya,ia
Bakit,Ba't
ayaw ko,ayoko
sa iyo,sa'yo
Saka,Tsaka
kung hindi,kundi
ito,'to
bakit,ba't
diyos ko,jusko
Saan,san
kapag,pag
Na ako,Nako
Kapag,Pag
Paano,Pano
Ninyo,Nyo
inyo,'nyo
ano,'no
Ganito,Ganto
